代码,名称,成交额,涨跌幅,交易日期,备注,空白列
630031,样例股份31,"1,030",0.0%,2023/3/3,批量30,
630032,样例股份32,"1,031",1.0%,2023/3/4,批量31,   
630033,样例股份33,"1,032",2.0%,2023/3/5,批量32,
630034,样例股份34,"1,033",3.0%,2023/3/6,批量33,   
630035,样例股份35,"1,034",4.0%,2023/3/7,批量34,
630036,样例股份36,"1,035",5.0%,2023/3/8,批量35,   
630037,样例股份37,"1,036",6.0%,2023/3/9,批量36,
630038,样例股份38,"1,037",7.0%,2023/3/10,批量37,   
630039,样例股份39,"1,038",8.0%,2023/3/11,批量38,
630040,样例股份40,"1,039",9.0%,2023/3/12,批量39,   
630041,样例股份41,"1,040",0.0%,2023/3/13,批量40,
630042,样例股份42,"1,041",1.0%,2023/3/14,批量41,   
630043,样例股份43,"1,042",2.0%,2023/3/15,批量42,
630044,样例股份44,"1,043",3.0%,2023/3/16,批量43,   
630045,样例股份45,"1,044",4.0%,2023/3/17,批量44,
630046,样例股份46,"1,045",5.0%,2023/3/18,批量45,   
630047,样例股份47,"1,046",6.0%,2023/3/19,批量46,
630048,样例股份48,"1,047",7.0%,2023/3/20,批量47,   
630049,样例股份49,"1,048",8.0%,2023/3/21,批量48,
630050,样例股份50,"1,049",9.0%,2023/3/22,批量49,   
630051,样例股份51,"1,050",0.0%,2023/3/23,批量50,
630052,样例股份52,"1,051",1.0%,2023/3/24,批量51,   
630053,样例股份53,"1,052",2.0%,2023/3/25,批量52,
630054,样例股份54,"1,053",3.0%,2023/3/26,批量53,   
630055,样例股份55,"1,054",4.0%,2023/3/27,批量54,
630056,样例股份56,"1,055",5.0%,2023/3/28,批量55,   
630057,样例股份57,"1,056",6.0%,2023/3/1,批量56,
630058,样例股份58,"1,057",7.0%,2023/3/2,批量57,   
630059,样例股份59,"1,058",8.0%,2023/3/3,批量58,
630060,样例股份60,"1,059",9.0%,2023/3/4,批量59,   
630061,样例股份61,"1,060",0.0%,2023/3/5,批量60,
630062,样例股份62,"1,061",1.0%,2023/3/6,批量61,   
630063,样例股份63,"1,062",2.0%,2023/3/7,批量62,
630064,样例股份64,"1,063",3.0%,2023/3/8,批量63,   
630065,样例股份65,"1,064",4.0%,2023/3/9,批量64,
630066,样例股份66,"1,065",5.0%,2023/3/10,批量65,   
630067,样例股份67,"1,066",6.0%,2023/3/11,批量66,
630068,样例股份68,"1,067",7.0%,2023/3/12,批量67,   
630069,样例股份69,"1,068",8.0%,2023/3/13,批量68,
630070,样例股份70,"1,069",9.0%,2023/3/14,批量69,   
630071,样例股份71,"1,070",0.0%,2023/3/15,批量70,
630072,样例股份72,"1,071",1.0%,2023/3/16,批量71,   
630073,样例股份73,"1,072",2.0%,2023/3/17,批量72,
630074,样例股份74,"1,073",3.0%,2023/3/18,批量73,   
630075,样例股份75,"1,074",4.0%,2023/3/19,批量74,
630076,样例股份76,"1,075",5.0%,2023/3/20,批量75,   
630077,样例股份77,"1,076",6.0%,2023/3/21,批量76,
630078,样例股份78,"1,077",7.0%,2023/3/22,批量77,   
630079,样例股份79,"1,078",8.0%,2023/3/23,批量78,
630080,样例股份80,"1,079",9.0%,2023/3/24,批量79,   
630081,样例股份81,"1,080",0.0%,2023/3/25,批量80,
630082,样例股份82,"1,081",1.0%,2023/3/26,批量81,   
630083,样例股份83,"1,082",2.0%,2023/3/27,批量82,
630084,样例股份84,"1,083",3.0%,2023/3/28,批量83,   
630085,样例股份85,"1,084",4.0%,2023/3/1,批量84,
630086,样例股份86,"1,085",5.0%,2023/3/2,批量85,   
630087,样例股份87,"1,086",6.0%,2023/3/3,批量86,
630088,样例股份88,"1,087",7.0%,2023/3/4,批量87,   
630089,样例股份89,"1,088",8.0%,2023/3/5,批量88,
630090,样例股份90,"1,089",9.0%,2023/3/6,批量89,   
630091,样例股份91,"1,090",0.0%,2023/3/7,批量90,
630092,样例股份92,"1,091",1.0%,2023/3/8,批量91,   
630093,样例股份93,"1,092",2.0%,2023/3/9,批量92,
630094,样例股份94,"1,093",3.0%,2023/3/10,批量93,   
630095,样例股份95,"1,094",4.0%,2023/3/11,批量94,
630096,样例股份96,"1,095",5.0%,2023/3/12,批量95,   
630097,样例股份97,"1,096",6.0%,2023/3/13,批量96,
630098,样例股份98,"1,097",7.0%,2023/3/14,批量97,   
630099,样例股份99,"1,098",8.0%,2023/3/15,批量98,
630100,样例股份100,"1,099",9.0%,2023/3/16,批量99,   
630101,样例股份101,"1,100",0.0%,2023/3/17,批量100,
630102,样例股份102,"1,101",1.0%,2023/3/18,批量101,   
630103,样例股份103,"1,102",2.0%,2023/3/19,批量102,
630104,样例股份104,"1,103",3.0%,2023/3/20,批量103,   
630105,样例股份105,"1,104",4.0%,2023/3/21,批量104,
630106,样例股份106,"1,105",5.0%,2023/3/22,批量105,   
630107,样例股份107,"1,106",6.0%,2023/3/23,批量106,
630108,样例股份108,"1,107",7.0%,2023/3/24,批量107,   
630109,样例股份109,"1,108",8.0%,2023/3/25,批量108,
630110,样例股份110,"1,109",9.0%,2023/3/26,批量109,   
630111,样例股份111,"1,110",0.0%,2023/3/27,批量110,
630112,样例股份112,"1,111",1.0%,2023/3/28,批量111,   
630113,样例股份113,"1,112",2.0%,2023/3/1,批量112,
630114,样例股份114,"1,113",3.0%,2023/3/2,批量113,   
630115,样例股份115,"1,114",4.0%,2023/3/3,批量114,
630116,样例股份116,"1,115",5.0%,2023/3/4,批量115,   
630117,样例股份117,"1,116",6.0%,2023/3/5,批量116,
630118,样例股份118,"1,117",7.0%,2023/3/6,批量117,   
630119,样例股份119,"1,118",8.0%,2023/3/7,批量118,
630120,样例股份120,"1,119",9.0%,2023/3/8,批量119,   
630121,样例股份121,"1,120",0.0%,2023/3/9,批量120,
630122,样例股份122,"1,121",1.0%,2023/3/10,批量121,   
630123,样例股份123,"1,122",2.0%,2023/3/11,批量122,
630124,样例股份124,"1,123",3.0%,2023/3/12,批量123,   
630125,样例股份125,"1,124",4.0%,2023/3/13,批量124,
630126,样例股份126,"1,125",5.0%,2023/3/14,批量125,   
630127,样例股份127,"1,126",6.0%,2023/3/15,批量126,
630128,样例股份128,"1,127",7.0%,2023/3/16,批量127,   
630129,样例股份129,"1,128",8.0%,2023/3/17,批量128,
630130,样例股份130,"1,129",9.0%,2023/3/18,批量129,   
630131,样例股份131,"1,130",0.0%,2023/3/19,批量130,
630132,样例股份132,"1,131",1.0%,2023/3/20,批量131,   
630133,样例股份133,"1,132",2.0%,2023/3/21,批量132,
630134,样例股份134,"1,133",3.0%,2023/3/22,批量133,   
630135,样例股份135,"1,134",4.0%,2023/3/23,批量134,
630136,样例股份136,"1,135",5.0%,2023/3/24,批量135,   
630137,样例股份137,"1,136",6.0%,2023/3/25,批量136,
630138,样例股份138,"1,137",7.0%,2023/3/26,批量137,   
630139,样例股份139,"1,138",8.0%,2023/3/27,批量138,
630140,样例股份140,"1,139",9.0%,2023/3/28,批量139,   
630141,样例股份141,"1,140",0.0%,2023/3/1,批量140,
630142,样例股份142,"1,141",1.0%,2023/3/2,批量141,   
630143,样例股份143,"1,142",2.0%,2023/3/3,批量142,
630144,样例股份144,"1,143",3.0%,2023/3/4,批量143,   
630145,样例股份145,"1,144",4.0%,2023/3/5,批量144,
630146,样例股份146,"1,145",5.0%,2023/3/6,批量145,   
630147,样例股份147,"1,146",6.0%,2023/3/7,批量146,
630148,样例股份148,"1,147",7.0%,2023/3/8,批量147,   
630149,样例股份149,"1,148",8.0%,2023/3/9,批量148,
630150,样例股份150,"1,149",9.0%,2023/3/10,批量149,   
630151,样例股份151,"1,150",0.0%,2023/3/11,批量150,
630152,样例股份152,"1,151",1.0%,2023/3/12,批量151,   
630153,样例股份153,"1,152",2.0%,2023/3/13,批量152,
630154,样例股份154,"1,153",3.0%,2023/3/14,批量153,   
630155,样例股份155,"1,154",4.0%,2023/3/15,批量154,
630156,样例股份156,"1,155",5.0%,2023/3/16,批量155,   
630157,样例股份157,"1,156",6.0%,2023/3/17,批量156,
630158,样例股份158,"1,157",7.0%,2023/3/18,批量157,   
630159,样例股份159,"1,158",8.0%,2023/3/19,批量158,
630160,样例股份160,"1,159",9.0%,2023/3/20,批量159,   
630161,样例股份161,"1,160",0.0%,2023/3/21,批量160,
630162,样例股份162,"1,161",1.0%,2023/3/22,批量161,   
630163,样例股份163,"1,162",2.0%,2023/3/23,批量162,
630164,样例股份164,"1,163",3.0%,2023/3/24,批量163,   
630165,样例股份165,"1,164",4.0%,2023/3/25,批量164,
630166,样例股份166,"1,165",5.0%,2023/3/26,批量165,   
630167,样例股份167,"1,166",6.0%,2023/3/27,批量166,
630168,样例股份168,"1,167",7.0%,2023/3/28,批量167,   
630169,样例股份169,"1,168",8.0%,2023/3/1,批量168,
630170,样例股份170,"1,169",9.0%,2023/3/2,批量169,   
630171,样例股份171,"1,170",0.0%,2023/3/3,批量170,
630172,样例股份172,"1,171",1.0%,2023/3/4,批量171,   
630173,样例股份173,"1,172",2.0%,2023/3/5,批量172,
630174,样例股份174,"1,173",3.0%,2023/3/6,批量173,   
630175,样例股份175,"1,174",4.0%,2023/3/7,批量174,
630176,样例股份176,"1,175",5.0%,2023/3/8,批量175,   
630177,样例股份177,"1,176",6.0%,2023/3/9,批量176,
630178,样例股份178,"1,177",7.0%,2023/3/10,批量177,   
630179,样例股份179,"1,178",8.0%,2023/3/11,批量178,
630180,样例股份180,"1,179",9.0%,2023/3/12,批量179,   
630181,样例股份181,"1,180",0.0%,2023/3/13,批量180,
630182,样例股份182,"1,181",1.0%,2023/3/14,批量181,   
630183,样例股份183,"1,182",2.0%,2023/3/15,批量182,
630184,样例股份184,"1,183",3.0%,2023/3/16,批量183,   
630185,样例股份185,"1,184",4.0%,2023/3/17,批量184,
630186,样例股份186,"1,185",5.0%,2023/3/18,批量185,   
630187,样例股份187,"1,186",6.0%,2023/3/19,批量186,
630188,样例股份188,"1,187",7.0%,2023/3/20,批量187,   
630189,样例股份189,"1,188",8.0%,2023/3/21,批量188,
630190,样例股份190,"1,189",9.0%,2023/3/22,批量189,   
630191,样例股份191,"1,190",0.0%,2023/3/23,批量190,
630192,样例股份192,"1,191",1.0%,2023/3/24,批量191,   
630193,样例股份193,"1,192",2.0%,2023/3/25,批量192,
630194,样例股份194,"1,193",3.0%,2023/3/26,批量193,   
630195,样例股份195,"1,194",4.0%,2023/3/27,批量194,
630196,样例股份196,"1,195",5.0%,2023/3/28,批量195,   
630197,样例股份197,"1,196",6.0%,2023/3/1,批量196,
630198,样例股份198,"1,197",7.0%,2023/3/2,批量197,   
630199,样例股份199,"1,198",8.0%,2023/3/3,批量198,
630200,样例股份200,"1,199",9.0%,2023/3/4,批量199,   
630201,样例股份201,"1,200",0.0%,2023/3/5,批量200,
630202,样例股份202,"1,201",1.0%,2023/3/6,批量201,   
630203,样例股份203,"1,202",2.0%,2023/3/7,批量202,
630204,样例股份204,"1,203",3.0%,2023/3/8,批量203,   
630205,样例股份205,"1,204",4.0%,2023/3/9,批量204,
630206,样例股份206,"1,205",5.0%,2023/3/10,批量205,   
630207,样例股份207,"1,206",6.0%,2023/3/11,批量206,
630208,样例股份208,"1,207",7.0%,2023/3/12,批量207,   
630209,样例股份209,"1,208",8.0%,2023/3/13,批量208,
630210,样例股份210,"1,209",9.0%,2023/3/14,批量209,   
630211,样例股份211,"1,210",0.0%,2023/3/15,批量210,
630212,样例股份212,"1,211",1.0%,2023/3/16,批量211,   
630213,样例股份213,"1,212",2.0%,2023/3/17,批量212,
630214,样例股份214,"1,213",3.0%,2023/3/18,批量213,   
630215,样例股份215,"1,214",4.0%,2023/3/19,批量214,
630216,样例股份216,"1,215",5.0%,2023/3/20,批量215,   
630217,样例股份217,"1,216",6.0%,2023/3/21,批量216,
630218,样例股份218,"1,217",7.0%,2023/3/22,批量217,   
630219,样例股份219,"1,218",8.0%,2023/3/23,批量218,
630220,样例股份220,"1,219",9.0%,2023/3/24,批量219,   
630221,样例股份221,"1,220",0.0%,2023/3/25,批量220,
630222,样例股份222,"1,221",1.0%,2023/3/26,批量221,   
630223,样例股份223,"1,222",2.0%,2023/3/27,批量222,
630224,样例股份224,"1,223",3.0%,2023/3/28,批量223,   
630225,样例股份225,"1,224",4.0%,2023/3/1,批量224,
630226,样例股份226,"1,225",5.0%,2023/3/2,批量225,   
630227,样例股份227,"1,226",6.0%,2023/3/3,批量226,
630228,样例股份228,"1,227",7.0%,2023/3/4,批量227,   
630229,样例股份229,"1,228",8.0%,2023/3/5,批量228,
630230,样例股份230,"1,229",9.0%,2023/3/6,批量229,   
630231,样例股份231,"1,230",0.0%,2023/3/7,批量230,
630232,样例股份232,"1,231",1.0%,2023/3/8,批量231,   
630233,样例股份233,"1,232",2.0%,2023/3/9,批量232,
630234,样例股份234,"1,233",3.0%,2023/3/10,批量233,   
630235,样例股份235,"1,234",4.0%,2023/3/11,批量234,
630236,样例股份236,"1,235",5.0%,2023/3/12,批量235,   
630237,样例股份237,"1,236",6.0%,2023/3/13,批量236,
630238,样例股份238,"1,237",7.0%,2023/3/14,批量237,   
630239,样例股份239,"1,238",8.0%,2023/3/15,批量238,
630240,样例股份240,"1,239",9.0%,2023/3/16,批量239,   
630241,样例股份241,"1,240",0.0%,2023/3/17,批量240,
630242,样例股份242,"1,241",1.0%,2023/3/18,批量241,   
630243,样例股份243,"1,242",2.0%,2023/3/19,批量242,
630244,样例股份244,"1,243",3.0%,2023/3/20,批量243,   
630245,样例股份245,"1,244",4.0%,2023/3/21,批量244,
630246,样例股份246,"1,245",5.0%,2023/3/22,批量245,   
630247,样例股份247,"1,246",6.0%,2023/3/23,批量246,
630248,样例股份248,"1,247",7.0%,2023/3/24,批量247,   
630249,样例股份249,"1,248",8.0%,2023/3/25,批量248,
630250,样例股份250,"1,249",9.0%,2023/3/26,批量249,   
630251,样例股份251,"1,250",0.0%,2023/3/27,批量250,
630252,样例股份252,"1,251",1.0%,2023/3/28,批量251,   
630253,样例股份253,"1,252",2.0%,2023/3/1,批量252,
630254,样例股份254,"1,253",3.0%,2023/3/2,批量253,   
630255,样例股份255,"1,254",4.0%,2023/3/3,批量254,
630256,样例股份256,"1,255",5.0%,2023/3/4,批量255,   
630257,样例股份257,"1,256",6.0%,2023/3/5,批量256,
630258,样例股份258,"1,257",7.0%,2023/3/6,批量257,   
630259,样例股份259,"1,258",8.0%,2023/3/7,批量258,
630260,样例股份260,"1,259",9.0%,2023/3/8,批量259,   
630261,样例股份261,"1,260",0.0%,2023/3/9,批量260,
630262,样例股份262,"1,261",1.0%,2023/3/10,批量261,   
630263,样例股份263,"1,262",2.0%,2023/3/11,批量262,
630264,样例股份264,"1,263",3.0%,2023/3/12,批量263,   
630265,样例股份265,"1,264",4.0%,2023/3/13,批量264,
630266,样例股份266,"1,265",5.0%,2023/3/14,批量265,   
630267,样例股份267,"1,266",6.0%,2023/3/15,批量266,
630268,样例股份268,"1,267",7.0%,2023/3/16,批量267,   
630269,样例股份269,"1,268",8.0%,2023/3/17,批量268,
630270,样例股份270,"1,269",9.0%,2023/3/18,批量269,   
630271,样例股份271,"1,270",0.0%,2023/3/19,批量270,
630272,样例股份272,"1,271",1.0%,2023/3/20,批量271,   
630273,样例股份273,"1,272",2.0%,2023/3/21,批量272,
630274,样例股份274,"1,273",3.0%,2023/3/22,批量273,   
630275,样例股份275,"1,274",4.0%,2023/3/23,批量274,
630276,样例股份276,"1,275",5.0%,2023/3/24,批量275,   
630277,样例股份277,"1,276",6.0%,2023/3/25,批量276,
630278,样例股份278,"1,277",7.0%,2023/3/26,批量277,   
630279,样例股份279,"1,278",8.0%,2023/3/27,批量278,
630280,样例股份280,"1,279",9.0%,2023/3/28,批量279,   
630281,样例股份281,"1,280",0.0%,2023/3/1,批量280,
630282,样例股份282,"1,281",1.0%,2023/3/2,批量281,   
630283,样例股份283,"1,282",2.0%,2023/3/3,批量282,
630284,样例股份284,"1,283",3.0%,2023/3/4,批量283,   
630285,样例股份285,"1,284",4.0%,2023/3/5,批量284,
630286,样例股份286,"1,285",5.0%,2023/3/6,批量285,   
630287,样例股份287,"1,286",6.0%,2023/3/7,批量286,
630288,样例股份288,"1,287",7.0%,2023/3/8,批量287,   
630289,样例股份289,"1,288",8.0%,2023/3/9,批量288,
630290,样例股份290,"1,289",9.0%,2023/3/10,批量289,   
630291,样例股份291,"1,290",0.0%,2023/3/11,批量290,
630292,样例股份292,"1,291",1.0%,2023/3/12,批量291,   
630293,样例股份293,"1,292",2.0%,2023/3/13,批量292,
630294,样例股份294,"1,293",3.0%,2023/3/14,批量293,   
630295,样例股份295,"1,294",4.0%,2023/3/15,批量294,
630296,样例股份296,"1,295",5.0%,2023/3/16,批量295,   
630297,样例股份297,"1,296",6.0%,2023/3/17,批量296,
630298,样例股份298,"1,297",7.0%,2023/3/18,批量297,   
630299,样例股份299,"1,298",8.0%,2023/3/19,批量298,
630300,样例股份300,"1,299",9.0%,2023/3/20,批量299,   
630301,样例股份301,"1,300",0.0%,2023/3/21,批量300,
630302,样例股份302,"1,301",1.0%,2023/3/22,批量301,   
630303,样例股份303,"1,302",2.0%,2023/3/23,批量302,
630304,样例股份304,"1,303",3.0%,2023/3/24,批量303,   
630305,样例股份305,"1,304",4.0%,2023/3/25,批量304,
630306,样例股份306,"1,305",5.0%,2023/3/26,批量305,   
630307,样例股份307,"1,306",6.0%,2023/3/27,批量306,
630308,样例股份308,"1,307",7.0%,2023/3/28,批量307,   
630309,样例股份309,"1,308",8.0%,2023/3/1,批量308,
630310,样例股份310,"1,309",9.0%,2023/3/2,批量309,   
630311,样例股份311,"1,310",0.0%,2023/3/3,批量310,
630312,样例股份312,"1,311",1.0%,2023/3/4,批量311,   
630313,样例股份313,"1,312",2.0%,2023/3/5,批量312,
630314,样例股份314,"1,313",3.0%,2023/3/6,批量313,   
630315,样例股份315,"1,314",4.0%,2023/3/7,批量314,
630316,样例股份316,"1,315",5.0%,2023/3/8,批量315,   
630317,样例股份317,"1,316",6.0%,2023/3/9,批量316,
630318,样例股份318,"1,317",7.0%,2023/3/10,批量317,   
630319,样例股份319,"1,318",8.0%,2023/3/11,批量318,
630320,样例股份320,"1,319",9.0%,2023/3/12,批量319,   
630321,样例股份321,"1,320",0.0%,2023/3/13,批量320,
630322,样例股份322,"1,321",1.0%,2023/3/14,批量321,   
630323,样例股份323,"1,322",2.0%,2023/3/15,批量322,
630324,样例股份324,"1,323",3.0%,2023/3/16,批量323,   
630325,样例股份325,"1,324",4.0%,2023/3/17,批量324,
630326,样例股份326,"1,325",5.0%,2023/3/18,批量325,   
630327,样例股份327,"1,326",6.0%,2023/3/19,批量326,
630328,样例股份328,"1,327",7.0%,2023/3/20,批量327,   
630329,样例股份329,"1,328",8.0%,2023/3/21,批量328,
630330,样例股份330,"1,329",9.0%,2023/3/22,批量329,   
630331,样例股份331,"1,330",0.0%,2023/3/23,批量330,
630332,样例股份332,"1,331",1.0%,2023/3/24,批量331,   
630333,样例股份333,"1,332",2.0%,2023/3/25,批量332,
630334,样例股份334,"1,333",3.0%,2023/3/26,批量333,   
630335,样例股份335,"1,334",4.0%,2023/3/27,批量334,
630336,样例股份336,"1,335",5.0%,2023/3/28,批量335,   
630337,样例股份337,"1,336",6.0%,2023/3/1,批量336,
630338,样例股份338,"1,337",7.0%,2023/3/2,批量337,   
630339,样例股份339,"1,338",8.0%,2023/3/3,批量338,
630340,样例股份340,"1,339",9.0%,2023/3/4,批量339,   
630341,样例股份341,"1,340",0.0%,2023/3/5,批量340,
630342,样例股份342,"1,341",1.0%,2023/3/6,批量341,   
630343,样例股份343,"1,342",2.0%,2023/3/7,批量342,
630344,样例股份344,"1,343",3.0%,2023/3/8,批量343,   
630345,样例股份345,"1,344",4.0%,2023/3/9,批量344,
630346,样例股份346,"1,345",5.0%,2023/3/10,批量345,   
630347,样例股份347,"1,346",6.0%,2023/3/11,批量346,
630348,样例股份348,"1,347",7.0%,2023/3/12,批量347,   
630349,样例股份349,"1,348",8.0%,2023/3/13,批量348,
630350,样例股份350,"1,349",9.0%,2023/3/14,批量349,   
630351,样例股份351,"1,350",0.0%,2023/3/15,批量350,
630352,样例股份352,"1,351",1.0%,2023/3/16,批量351,   
630353,样例股份353,"1,352",2.0%,2023/3/17,批量352,
630354,样例股份354,"1,353",3.0%,2023/3/18,批量353,   
630355,样例股份355,"1,354",4.0%,2023/3/19,批量354,
630356,样例股份356,"1,355",5.0%,2023/3/20,批量355,   
630357,样例股份357,"1,356",6.0%,2023/3/21,批量356,
630358,样例股份358,"1,357",7.0%,2023/3/22,批量357,   
630359,样例股份359,"1,358",8.0%,2023/3/23,批量358,
630360,样例股份360,"1,359",9.0%,2023/3/24,批量359,   
630361,样例股份361,"1,360",0.0%,2023/3/25,批量360,
630362,样例股份362,"1,361",1.0%,2023/3/26,批量361,   
630363,样例股份363,"1,362",2.0%,2023/3/27,批量362,
630364,样例股份364,"1,363",3.0%,2023/3/28,批量363,   
630365,样例股份365,"1,364",4.0%,2023/3/1,批量364,
630366,样例股份366,"1,365",5.0%,2023/3/2,批量365,   
630367,样例股份367,"1,366",6.0%,2023/3/3,批量366,
630368,样例股份368,"1,367",7.0%,2023/3/4,批量367,   
630369,样例股份369,"1,368",8.0%,2023/3/5,批量368,
630370,样例股份370,"1,369",9.0%,2023/3/6,批量369,   
630371,样例股份371,"1,370",0.0%,2023/3/7,批量370,
630372,样例股份372,"1,371",1.0%,2023/3/8,批量371,   
630373,样例股份373,"1,372",2.0%,2023/3/9,批量372,
630374,样例股份374,"1,373",3.0%,2023/3/10,批量373,   
630375,样例股份375,"1,374",4.0%,2023/3/11,批量374,
630376,样例股份376,"1,375",5.0%,2023/3/12,批量375,   
630377,样例股份377,"1,376",6.0%,2023/3/13,批量376,
630378,样例股份378,"1,377",7.0%,2023/3/14,批量377,   
630379,样例股份379,"1,378",8.0%,2023/3/15,批量378,
630380,样例股份380,"1,379",9.0%,2023/3/16,批量379,   
630381,样例股份381,"1,380",0.0%,2023/3/17,批量380,
630382,样例股份382,"1,381",1.0%,2023/3/18,批量381,   
630383,样例股份383,"1,382",2.0%,2023/3/19,批量382,
630384,样例股份384,"1,383",3.0%,2023/3/20,批量383,   
630385,样例股份385,"1,384",4.0%,2023/3/21,批量384,
630386,样例股份386,"1,385",5.0%,2023/3/22,批量385,   
630387,样例股份387,"1,386",6.0%,2023/3/23,批量386,
630388,样例股份388,"1,387",7.0%,2023/3/24,批量387,   
630389,样例股份389,"1,388",8.0%,2023/3/25,批量388,
630390,样例股份390,"1,389",9.0%,2023/3/26,批量389,   
630391,样例股份391,"1,390",0.0%,2023/3/27,批量390,
630392,样例股份392,"1,391",1.0%,2023/3/28,批量391,   
630393,样例股份393,"1,392",2.0%,2023/3/1,批量392,
630394,样例股份394,"1,393",3.0%,2023/3/2,批量393,   
630395,样例股份395,"1,394",4.0%,2023/3/3,批量394,
630396,样例股份396,"1,395",5.0%,2023/3/4,批量395,   
630397,样例股份397,"1,396",6.0%,2023/3/5,批量396,
630398,样例股份398,"1,397",7.0%,2023/3/6,批量397,   
630399,样例股份399,"1,398",8.0%,2023/3/7,批量398,
630400,样例股份400,"1,399",9.0%,2023/3/8,批量399,   
630401,样例股份401,"1,400",0.0%,2023/3/9,批量400,
630402,样例股份402,"1,401",1.0%,2023/3/10,批量401,   
630403,样例股份403,"1,402",2.0%,2023/3/11,批量402,
630404,样例股份404,"1,403",3.0%,2023/3/12,批量403,   
630405,样例股份405,"1,404",4.0%,2023/3/13,批量404,
630406,样例股份406,"1,405",5.0%,2023/3/14,批量405,   
630407,样例股份407,"1,406",6.0%,2023/3/15,批量406,
630408,样例股份408,"1,407",7.0%,2023/3/16,批量407,   
630409,样例股份409,"1,408",8.0%,2023/3/17,批量408,
630410,样例股份410,"1,409",9.0%,2023/3/18,批量409,   
630411,样例股份411,"1,410",0.0%,2023/3/19,批量410,
630412,样例股份412,"1,411",1.0%,2023/3/20,批量411,   
630413,样例股份413,"1,412",2.0%,2023/3/21,批量412,
630414,样例股份414,"1,413",3.0%,2023/3/22,批量413,   
630415,样例股份415,"1,414",4.0%,2023/3/23,批量414,
630416,样例股份416,"1,415",5.0%,2023/3/24,批量415,   
630417,样例股份417,"1,416",6.0%,2023/3/25,批量416,
630418,样例股份418,"1,417",7.0%,2023/3/26,批量417,   
630419,样例股份419,"1,418",8.0%,2023/3/27,批量418,
630420,样例股份420,"1,419",9.0%,2023/3/28,批量419,   
630421,样例股份421,"1,420",0.0%,2023/3/1,批量420,
630422,样例股份422,"1,421",1.0%,2023/3/2,批量421,   
630423,样例股份423,"1,422",2.0%,2023/3/3,批量422,
630424,样例股份424,"1,423",3.0%,2023/3/4,批量423,   
630425,样例股份425,"1,424",4.0%,2023/3/5,批量424,
630426,样例股份426,"1,425",5.0%,2023/3/6,批量425,   
